Date,Open,High,Low,Close,Adj Close,Volume,Target
2019-05-23,37.422501,37.422501,36.227501,36.830002,36.579872,59184400,36.287498
2019-05-24,37.02,37.375,36.220001,36.287498,36.041054,35758400,35.8325
2019-05-28,36.465,36.794998,35.8125,35.8325,35.589134,42835600,35.084999
2019-05-29,35.352501,35.705002,34.735001,35.084999,34.846722,55980000,34.7775
2019-05-30,35.077499,35.4375,34.392502,34.7775,34.580738,39430000,33.865002
2019-05-31,34.285,34.962502,33.8475,33.865002,33.673405,38972000,33.445
2019-06-03,33.977501,34.3675,33.150002,33.445,33.255783,47864400,35.75
2019-06-04,34.09,35.802502,33.8675,35.75,35.547733,64183600,35.32
2019-06-05,36.4925,36.547501,34.955002,35.32,35.120171,51161600,35.945
2019-06-06,35.362499,36.192501,35.337502,35.945,35.741619,40814000,36.375
2019-06-07,36.005001,36.720001,35.8125,36.375,36.169193,34885600,37.107498
2019-06-10,36.939999,37.797501,36.939999,37.107498,36.897552,40278000,37.6875
2019-06-11,37.709999,38.09,37.290001,37.6875,37.474274,38387200,36.549999
2019-06-12,37.25,37.3125,36.397499,36.549999,36.343201,35889200,37.064999
2019-06-13,36.772499,37.25,36.595001,37.064999,36.855289,30808000,36.16
2019-06-14,36.127499,36.372501,35.709999,36.16,35.955414,39442800,36.2575
2019-06-17,36.142502,36.630001,35.912498,36.2575,36.052361,27604000,38.220001
2019-06-18,36.875,38.7775,36.764999,38.220001,38.003754,58192000,38.279999
2019-06-19,38.575001,38.689999,38.017502,38.279999,38.063419,33164400,38.525002
2019-06-20,39.192501,39.3325,38.380001,38.525002,38.307041,35016800,37.939999
2019-06-21,38.375,38.869999,37.875,37.939999,37.725334,43442800,38.165001
2019-06-24,38.154999,38.462502,37.68,38.165001,37.949066,28294800,37.869999
2019-06-25,38.215,38.970001,37.842499,37.869999,37.655746,31186800,39.814999
2019-06-26,39.1525,40.43,39.022499,39.814999,39.589733,58407200,40.807499
2019-06-27,40.677502,41.0,40.314999,40.807499,40.576622,44544000,41.057499
2019-06-28,41.25,41.342499,40.587502,41.057499,40.825203,39766800,41.5425
2019-07-01,43.142502,43.487499,41.165001,41.5425,41.307449,70975600,40.557499
2019-07-02,41.375,41.587502,40.424999,40.557499,40.32803,40022800,40.6875
2019-07-03,40.7925,40.849998,40.084999,40.6875,40.457294,24663600,40.057499
2019-07-05,40.099998,40.145,39.419998,40.057499,39.830856,39655200,39.302502
2019-07-08,39.4575,39.647499,39.0,39.302502,39.080128,32978800,39.327499
2019-07-09,38.877499,39.610001,38.75,39.327499,39.104988,34286000,40.014999
2019-07-10,39.764999,40.592499,39.625,40.014999,39.788601,45207600,41.57
2019-07-11,40.75,41.98,40.375,41.57,41.334805,68256000,41.9025
2019-07-12,41.849998,42.6175,41.849998,41.9025,41.665421,50639200,41.817501
2019-07-15,42.115002,42.2775,41.532501,41.817501,41.58091,28984000,41.77
2019-07-16,41.6675,42.0425,41.209999,41.77,41.533669,34144400,42.427502
2019-07-17,41.787498,42.497501,41.4925,42.427502,42.187458,34820400,42.544998
2019-07-18,42.532501,43.177502,41.962502,42.544998,42.304291,44219200,42.110001
2019-07-19,42.93,42.994999,42.049999,42.110001,41.871754,34489600,42.830002
2019-07-22,42.325001,42.959999,42.25,42.830002,42.587677,31594000,43.915001
2019-07-23,43.224998,43.935001,43.067501,43.915001,43.666534,42817600,44.665001
2019-07-24,44.349998,44.7225,43.584999,44.665001,44.4123,36623600,43.345001
2019-07-25,44.247501,44.375,43.110001,43.345001,43.099762,39270000,43.767502
2019-07-26,43.6175,44.237499,43.6175,43.767502,43.519875,27416000,43.705002
2019-07-29,43.695,43.8675,42.817501,43.705002,43.457726,24816000,43.862499
2019-07-30,43.237499,43.985001,43.092499,43.862499,43.61433,19777200,42.18
2019-07-31,43.544998,43.555,41.755001,42.18,41.941353,35941600,41.23
2019-08-01,42.285,43.195,40.705002,41.23,40.996731,42121200,40.297501
2019-08-02,40.297501,40.994999,39.82,40.297501,40.069515,42834800,37.697498
2019-08-05,38.450001,38.462502,37.224998,37.697498,37.484203,58915600,38.087502
2019-08-06,38.450001,38.907501,37.607498,38.087502,37.872009,36127200,38.4725
2019-08-07,37.474998,38.592499,37.299999,38.4725,38.254829,37256000,39.564999
2019-08-08,39.052502,39.577499,38.474998,39.564999,39.341145,30930000,38.544998
2019-08-09,39.1525,39.1875,38.037498,38.544998,38.32692,34181600,37.862499
2019-08-12,38.02,38.544998,37.642502,37.862499,37.648277,27920000,39.012501
2019-08-13,37.8475,39.474998,37.455002,39.012501,38.791775,35195600,37.517502
2019-08-14,38.125,38.237499,37.077499,37.517502,37.305233,41988000,37.192501
2019-08-15,37.7075,37.907501,36.8475,37.192501,36.982082,47720000,39.889999
2019-08-16,39.837502,40.384998,39.220001,39.889999,39.664303,100796000,42.695
2019-08-19,41.029999,42.855,40.8675,42.695,42.453434,81511200,41.967499
2019-08-20,42.639999,42.645,41.755001,41.967499,41.730061,46318800,42.807499
2019-08-21,42.6325,43.362499,42.415001,42.807499,42.5653,42724400,42.869999
2019-08-22,42.904999,43.3325,42.474998,42.869999,42.627445,30348800,40.610001
2019-08-23,42.099998,42.647499,40.41,40.610001,40.380238,56805600,41.362499
2019-08-26,41.4025,41.645,40.977501,41.362499,41.128483,31820800,40.450001
2019-08-27,41.747501,41.775002,40.154999,40.450001,40.221142,29096800,40.305
2019-08-28,40.145,40.834999,39.75,40.305,40.116631,25561200,41.75
2019-08-29,41.224998,42.075001,41.189999,41.75,41.554882,35797600,41.877499
2019-08-30,42.215,42.715,41.695,41.877499,41.681789,29061600,41.0425
2019-09-03,41.145,41.477501,40.8125,41.0425,40.850689,29614000,42.189999
2019-09-04,41.6525,42.264999,41.6525,42.189999,41.992821,22772800,44.935001
2019-09-05,43.217499,44.997501,43.200001,44.935001,44.724995,69567600,44.662498
2019-09-06,44.700001,45.272499,44.279999,44.662498,44.453773,37697600,45.125
2019-09-09,44.974998,45.994999,44.959999,45.125,44.914104,41752400,45.794998
2019-09-10,44.794998,46.0625,44.697498,45.794998,45.580967,35281200,46.0825
2019-09-11,45.942501,46.567501,45.650002,46.0825,45.867138,36151200,46.067501
2019-09-12,46.549999,47.099998,45.987499,46.067501,45.8522,32784000,45.485001
2019-09-13,45.397499,45.77,45.044998,45.485001,45.272427,32459200,45.052502
2019-09-16,44.73,45.400002,44.625,45.052502,44.841953,23183200,45.267502
2019-09-17,45.119999,45.310001,44.6525,45.267502,45.055946,22304800,44.994999
2019-09-18,45.197498,45.355,44.125,44.994999,44.78471,25815200,44.235001
2019-09-19,45.055,45.240002,44.127499,44.235001,44.028259,24547600,43.172501
2019-09-20,44.224998,44.462502,43.07,43.172501,42.97073,35024400,43.709999
2019-09-23,43.174999,44.1675,43.137501,43.709999,43.505714,24971200,43.1325
2019-09-24,44.025002,44.322498,42.775002,43.1325,42.930916,31726800,44.557499
2019-09-25,43.127499,44.755001,42.677502,44.557499,44.349258,30843200,44.334999
2019-09-26,44.459999,44.547501,43.822498,44.334999,44.127808,23456400,42.939999
2019-09-27,43.915001,44.424999,42.330002,42.939999,42.739311,36205600,43.517502
2019-09-30,43.200001,43.619999,42.884998,43.517502,43.314121,18618400,43.5
2019-10-01,43.75,45.25,43.452499,43.5,43.2967,36600800,43.259998
2019-10-02,43.279999,43.400002,42.532501,43.259998,43.057819,29337200,45.327499
2019-10-03,43.305,45.389999,43.0,45.327499,45.11565,45058800,45.4925
2019-10-04,45.349998,45.787498,44.695,45.4925,45.279884,26552400,46.0825
2019-10-07,46.145,47.084999,46.057499,46.0825,45.867138,48098400,44.307499
2019-10-08,45.16,45.16,44.125,44.307499,44.10043,44443600,45.177502
2019-10-09,45.080002,45.674999,44.790001,45.177502,44.96637,29241200,45.7575
2019-10-10,45.154999,46.27,45.102501,45.7575,45.543644,30912400,46.497501
2019-10-11,46.602501,47.334999,46.412498,46.497501,46.28019,44640400,46.6325
2019-10-14,46.41,46.842499,46.0975,46.6325,46.414558,20004000,49.092499
2019-10-15,47.540001,49.822498,47.400002,49.092499,48.863064,66412400,48.552502
2019-10-16,48.75,49.805,48.4375,48.552502,48.325588,42894400,48.572498
2019-10-17,49.0,49.452499,48.025002,48.572498,48.345493,26343600,47.622501
2019-10-18,48.577499,48.904999,46.875,47.622501,47.399937,30744000,49.002499
2019-10-21,48.240002,49.137501,48.049999,49.002499,48.773479,26186800,48.9025
2019-10-22,49.575001,50.6325,48.825001,48.9025,48.673946,32872000,48.772499
2019-10-23,48.077499,48.915001,47.7575,48.772499,48.544552,27991600,49.215
2019-10-24,49.1875,49.552502,48.845001,49.215,48.984993,23202000,51.134998
2019-10-25,50.025002,51.345001,49.947498,51.134998,50.896027,42309200,51.697498
2019-10-28,51.575001,52.224998,51.279999,51.697498,51.455887,33079200,50.73
2019-10-29,51.557499,51.622501,50.535,50.73,50.492912,21123600,50.75
2019-10-30,51.0,51.057499,50.064999,50.75,50.512817,20596000,50.255001
2019-10-31,50.540001,50.75,49.452499,50.255001,50.02013,20973200,50.647499
2019-11-01,49.900002,50.9725,49.647499,50.647499,50.410793,28364000,52.625
2019-11-04,51.462502,52.75,51.23,52.625,52.379051,37671600,52.4025
2019-11-05,52.622501,52.884998,51.919998,52.4025,52.157597,30086800,51.907501
2019-11-06,52.16,52.4175,51.0275,51.907501,51.664917,26901200,52.084999
2019-11-07,52.7775,52.924999,51.634998,52.084999,51.841576,28034000,51.945
2019-11-08,51.915001,52.262501,51.537498,51.945,51.702236,18910000,52.044998
2019-11-11,51.9375,52.2775,51.07,52.044998,51.801765,24343600,52.4025
2019-11-12,52.43,52.965,52.077499,52.4025,52.157597,28350400,52.142502
2019-11-13,52.087502,52.365002,51.474998,52.142502,51.898815,30018800,52.447498
2019-11-14,52.232498,52.470001,51.630001,52.447498,52.202389,51808000,51.047501
2019-11-15,52.424999,52.945,50.16,51.047501,50.808918,105362800,53.07
2019-11-18,50.9725,53.337502,50.942501,53.07,52.82196,57458800,51.997501
2019-11-19,52.7575,52.994999,51.412498,51.997501,51.75449,41456400,52.794998
2019-11-20,51.767502,53.637501,51.639999,52.794998,52.548264,47258800,52.544998
